,Title,Worldwide,Budget,MPAA,Domestic Distributor,Domestic Opening,Genres,Year
674,tt0435651,66980456.0,25000000.0,PG-13,The Weinstein Company,12305016.0,"Drama,Romance,Sci-Fi,Thriller",4
675,tt2369135,203277636.0,66000000.0,PG-13,Walt Disney Studios Motion Pictures,17844939.0,"Action,Crime,Thriller",4
676,tt2557490,87189756.0,40000000.0,R,Universal Pictures,16797385.0,"Comedy,Western",4
677,tt2170593,54837234.0,,PG-13,The Weinstein Company,109878.0,"Comedy,Drama",4
678,tt2911666,86081711.0,20000000.0,R,Lionsgate,14415922.0,"Action,Crime,Thriller",4
679,tt2978462,57824533.0,36000000.0,PG,Warner Bros.,15873397.0,"Drama,Family",4
680,tt2333784,214657577.0,,PG-13,Lionsgate,15879645.0,"Action,Adventure,Thriller",4
681,tt2140373,117867984.0,35000000.0,PG-13,Walt Disney Studios Motion Pictures,413373.0,"Biography,Comedy,Drama",4
682,tt2183034,45681062.0,13000000.0,PG,Relativity Media,8364658.0,"Adventure,Family,Sci-Fi",4
683,tt1956620,126069509.0,40000000.0,R,Sony Pictures Entertainment (SPE),14608152.0,"Comedy,Romance",4
684,tt1322269,74188937.0,,R,The Weinstein Company,179302.0,"Comedy,Drama",4
685,tt1647668,38483455.0,25000000.0,PG,Walt Disney Studios Motion Pictures,10515659.0,"Biography,Drama,Sport",4
686,tt1229340,173649931.0,50000000.0,PG-13,Paramount Pictures,26232425.0,Comedy,4
687,tt1371150,41296320.0,19800000.0,R,Warner Bros.,11558149.0,"Comedy,Drama",4
688,tt2473682,90894962.0,5000000.0,R,Paramount Pictures,18343611.0,"Horror,Mystery",4
689,tt2872718,47398992.0,8500000.0,R,Open Road Films (II),10441000.0,"Crime,Drama,Thriller",4
690,tt2883512,48428048.0,,R,Open Road Films (II),204961.0,"Adventure,Comedy,Drama",4
691,tt2473602,33448971.0,,PG-13,Universal Pictures,13585915.0,"Biography,Drama,Music",4
692,tt2172934,53260230.0,28000000.0,PG-13,Relativity Media,12242218.0,"Action,Drama,Thriller",4
693,tt2377322,87937815.0,30000000.0,R,Screen Gems,9740471.0,"Crime,Drama,Fantasy,Horror,Mystery,Thriller",4
694,tt2247476,30138754.0,15000000.0,PG,TriStar Pictures,8381509.0,"Biography,Drama,Family,Sport",4
695,tt1951264,865011746.0,130000000.0,PG-13,Lionsgate,158074286.0,"Action,Drama,Mystery,Sci-Fi,Thriller",4
696,tt2223990,29824199.0,,PG-13,Lionsgate,9783603.0,"Drama,Sport",4
697,tt2388715,44459951.0,5000000.0,R,Relativity Media,12005402.0,"Horror,Mystery",4
698,tt0359950,188133322.0,90000000.0,PG,Twentieth Century Fox,12765508.0,"Adventure,Comedy,Drama,Fantasy,Romance",4
699,tt1972779,38609668.0,26000000.0,PG-13,Relativity Media,10003827.0,"Drama,Romance",4
700,tt0365907,58834384.0,28000000.0,R,Universal Pictures,12758780.0,"Action,Crime,Drama,Mystery,Thriller",4
701,tt1800246,45640143.0,8000000.0,R,Focus Features,8742109.0,"Comedy,Romance",4
702,tt2402157,39661919.0,,R,Relativity Media,7911597.0,"Action,Thriller",4
703,tt2562232,103215094.0,18000000.0,R,Fox Searchlight Pictures,424397.0,"Comedy,Drama",4
704,tt1065073,48137666.0,4000000.0,R,IFC Films,387618.0,Drama,4
